,날짜,기사제목,기사내용
40,2021.10.25. 오후 1:55,인천지하철 적자 눈덩이…승객 주는데 무임수송 늘어,"지난해 적자 1천591억, 전년보다 28%↑…승객은 36%↓인천지하철 2호선 [연합뉴스 자료사진](인천=연합뉴스) 강종구 기자 = 인천지하철이 승객 감소와 무임수송 부담에 시달리며 심각한 적자 구조에서 헤어나오지 못하고 있다. 25일 인천교통공사에 따르면 공사의 작년 적자액은 1천591억원으로 2019년 1천247억원보다 27.6% 늘어났다.    교통공사 적자는 2016년 1천107억원, 2017년 1천170억원, 2018년 1천216억원 등 매년 증가 추세로 최근 5년간 누적 적자만 6천331억원에 이른다.    이 때문에 인천시로부터 지원받는 순수 운영보조금도 2017년 413억원에서 2020년 787억원으로 배 가까이 뛰어 시 재정 부담까지 커지는 실정이다.    교통공사 적자 확대는 신종 코로나바이러스 감염증(코로나19) 사태에 따른 승객 감소가 결정적인 역할을 했다. 실제로 지난해 인천지하철 승객은 1억2천204만명으로 2019년 1억6천606만명보다 36.1% 감소했다.    여기에 65세 이상 노인, 장애인, 국가유공자 등 사회적 교통약자 무임승객 비율이 작년 기준으로 전체의 18.4%에 달해 무임 손실 금액만 213억원을 기록하며 적자 폭을 키웠다.    작년에는 코로나19 여파로 무임 손실액이 다소 줄었지만, 인천교통공사의 무임수송 손실은 2016년 172억원, 2017년 250억원, 2018년 271억원, 2019년 297억원 등 매년 늘고 있다.     교통공사는 도시철도 법정 무임승차가 국가적 교통복지 제도인데도 국비 지원은 전혀 없는 실정이라며 무임수송 국비 보전을 위한 관계 법령 개정이 시급하다고 강조한다.    아울러 승객 감소와 무임수송 부담 외에도 2015년 이후 6년간 동결된 낮은 요금체계로 재정 적자가 누적되는 측면도 있다고 지적했다.     공사 측은 수송 원가 대비 인천지하철 운임 수준이 2016년 44.1%에서 2020년 32.7%로 하락해 승객 1명을 태울 때마다 1천742원을 손해 보는 구조라고 설명했다.    공사의 중장기 재정계획에 따르면 승객 수요 답보, 무임수송 증가, 낮은 요금 체계 등으로 2021∼2025년에는 연평균 적자가 1천326억원에 이를 것으로 전망됐다.     이종섭 인천교통공사 기획조정처장은 이날 인천언론인클럽 주최 온라인 토론회에서 ""지하철 운영기관의 자구노력만으로는 적자 구조개선에 한계가 있다""며 ""서울·부산 등 전국 6개 도시철도 운영기관이 원하는 무임손실 국비 보전이 조속히 이뤄져야 한다""고 했다.    고홍석 서울시립대 교수도 ""선진국 각 도시는 사회적 약자를 위한 공공요금 할인제도를 운용하고 그 비용은 중앙정부나 지방정부가 부담한다""며 ""국민의 이동권 보장을 위한 중앙정부의 적극적 역할 분담이 필요할 때""라고 강조했다. inyon@yna.co.kr"
41,2021.10.26. 오전 11:35,지하철 무임승차비용 지난해 4457억원,"			[경향신문] 서울시와 서울교통공사 직원들이 지난해 11월13일 서울 지하철 5호선 광화문역에서 지하철 이용 시 마스크 착용을 안내하는 현수막을 들고 있다. 권도현 기자지난해 경로우대자 등 대중교통 무임승차 비용 환산액이 4457억원인 것으로 나타났다.26일 국회 행정안전위원회 박완수 국민의힘 의원이 행안부로부터 제출받은 ‘2020년 도시철도공사 무임승차 현황’자료를 보면, 지난해 서울·부산·대구·인천·광주·대전 등 6개 광역도시철도공사 무임승차권은 3억 3191만 7000장으로 집계됐다. 이를 금액으로 환산하면 약 4457억원에 달한다.서울의 경우 지난해 무임승차권 1억9569만장을 발권했다. 이중 경로우대자가 1억6005만3000장으로 전체의 81.7%를 차지했다. 장애인에게는 3346만장(17%)을 발권했으며, 국가유공자에는 217만7000장(1.1%) 발권에 불과했다.부산 역시 전체 무임승차권 7663만4000장 가운데 경로우대자가 6421만2000장(83.7%)로 가장 많았다. 대구도 3331만4000장 가운데 2778만4000장(83.4%)이 경로우대자 무임승차 발권이었다.박 의원은 “지자체 국정감사를 통해 공통적으로 확인된 것 중 하나가 지방 교통공사의 재정악화였다”면서 “코로나19 영향으로 수송인원이 감소한 탓도 있지만 대중교통 무임승차 정책으로 인한 영향도 무시할 수 없다”고 지적했다. 이어 “어르신, 장애인, 국가유공자 등에 대한 무임승차는 정책적으로 추진하면서, 이에 대한 비용은 지방공사가 책임지도록 하는 것은 지자체 입장에서는 상당한 부담이 될 수밖에 없다”며 “지방행정 및 재정을 책임지고 있는 행안부에서 국토교통부와 함께 대중교통 무임승차 손실대책 마련에 적극 나서야 한다”고 밝혔다.		"
42,2021.10.28. 오전 10:26,부산지하철 고장·사고 중 51.6%는 전동차 문제,"부산광역시청 전경 © News1 DB(부산=뉴스1) 박채오 기자 = 부산지하철에서 발생한 고장과 사고의 절반 이상이 전동차 관련 장애인 것으로 나타났다.부산시는 지난 9월6일부터 14일까지 실시한 도시철도 안전 특별 합동점검 결과를 28일 발표했다.이번 점검에서는 2017년부터 최근 5년간 발생한 고장·사고 130건의 유형을 분석했다. 그 결과 출입문(18.4%), 차상신호장치(17.7%), 제동장치(10.8%), 추진장치(9.2%) 등 전동차 고장 장애가 73건(51.6%)으로 발생 빈도가 높은 것으로 나타났다.이에 따라 시는 Δ최근 5년간 고장·사고 유형 분석 활용 Δ연간 고장·사고 분석 및 맞춤형 점검 개선 Δ사고조사 신분처분 절차 및 실효성 보완 Δ고심도역 사고 대응 및 사후조치 강화 Δ전동차용 피뢰기 검수 및 관리 강화 Δ전기모터카 트롤리 관리기준 마련 Δ전동차 차상신호장치 기능 개선 Δ전동차 차륜 삭정 검사기준 도입 등 모두 8건의 대책을 제시하고, 관련 추진업무 14건의 개선을 권고했다.우선 전동차에 대한 검수 관리를 강화할 것을 요청했다. 특히 2호선 출입문과 제동장치, 3호선 추진장치의 고장 빈도가 잦기 때문에, 해당 사항을 최우선으로 정비하고 특별 점검할 것을 권고했다.또 지난 2019년 신설된 고장·사고 전담조직인 부산교통공사의 안전사고조사단의 전담인력을 충원해, 고장·사고 예방의 컨트롤타워 역할을 할 수 있도록 하고 고장·사고 모니터링과 맞춤형 예방 점검을 확대해야 한다고 요구했다.지난 8월 발생한 배산역의 피뢰기 고장 운행 장애의 예방·대응 방안도 제시됐다. 구체적으로 Δ승강장 전동차 고장·사고에도 승객대피를 지원하도록 역무원 현장조치 매뉴얼의 개정 Δ고심도 역사의 유사 사고를 대비한 승객대피 교육·훈련 강화 Δ고심도 역사의 피난안내도, 안내유도등, 휴대용 조명등 추가 설치 등이다.특히 배산역 고장 전동차의 피뢰기는 고장 발생 6개월 전에 교체됐고 교체 4개월 후 성능 검사에서도 정상으로 확인됐지만, 외부 환경요인 등으로 고장이 발생한 점을 고려해 피뢰기 검수 및 관리를 더욱 강화해야 한다고 강조했다.특히 도시철도 1~4호선 전체 전동차에 부착된 피뢰기와 보관 중인 피뢰기에 대한 전수조사와 성능 기준을 충족하더라도 성능이 낮은 피뢰기의 선제적 교체를 권고했다.지난 8월 신평역에서 발생한 트롤리 탈선사고에 대한 예방·대응 방안으로는, 차륜 마모에 따른 탈선으로 추정되는 사고의 재발 방지를 위해 같은 기종 4조를 사용금지 조치하고, 나머지 트롤리는 사고 예방을 위해 관리기준을 마련해야 한다고 권고했다.		"
44,2021.10.26. 오후 2:27,6개 지자체 지하철 무임수송 4500억원 손실,"			지난해 전국 6개 지방자치단체 지하철이 무임수송으로 인해 발생한 손실이 4500억원에 이르는 것으로 나타났다.26일 국회 행정안전위원회 박완수 국민의힘 의원이 행정안전부로부터 받은 ‘2020년 도시철도공사 무임승차 현황’에 따르면 지난해 전국 6개 지하철에서 사용된 무임승차권은 3억 3192만매로, 이를 금액으로 환산하면 4457억원에 달했다.지역별로는 서울교통공사가 2643억원으로 가장 많았다. 이어 부산교통공사가 1045억원, 대구도시철도공사가 416억원, 인천교통공사가 213억원으로 뒤를 이었다. 지하철을 운영한 기간이 상대적으로 짧은 광주도시철도공사와 대전도시철도공사에서도 무상수송 비용이 각각 62억원, 78억원 발생했다.박 의원은 “코로나19 영향으로 수송 인원이 감소한 탓도 있겠지만 어르신, 장애인, 국가유공자 등에 대한 무임승차를 추진하면서 비용을 지방공사가 책임지도록 한 것은 지자체 입장에서 상당한 부담”이라고 지적했다. 그는 이어 “지자체 국정감사를 통해 확인한 것 중 하나가 지방교통공사의 재정 악화”라며 “지방재정을 책임지는 행안부가 국토교통부와 함께 무임승차 손실을 보전하기 위한 대책 마련에 적극적으로 나서야 한다”라고 강조했다.사진은 서울 지하철 2호선 지하철 전동차의 모습. 연합뉴스"
45,2021.10.21. 오후 12:14,"박형준 시장 ""남구에 청년 갈맷길 조성 추진""","[부산=뉴시스] 박형준 부산시장. (사진=뉴시스 DB) *재판매 및 DB 금지[부산=뉴시스] 제갈수만 기자 = 박형준 부산시장은 21일 오전 '15분 도시 부산 비전 투어'의 아홉 번째 방문지로 남구를 찾았다.부산시는 시민 모두가 15분 내 일상생활이 가능한 부산을 만들고 인공지능(AI) 기술이 녹아든 도시 환경을 구축해 탄소중립 그린스마트 부산을 실현한다는 목표로 '15분 도시 부산' 정책을 추진하고 있다.이날 박 시장은 남구 부경대 대연캠퍼스 내 평화와 청년문화의 길 조성 예정 구간을 방문해 갈맷길을 걷고, 도심 갈맷길 조성 사업 추진을 통해 15분 생활권을 위한 보행친화도시 부산을 만들겠다는 비전을 밝혔다.이후 부경대 대연캠퍼스에서 남구민을 만나 '15분 도시 부산' 비전을 직접 설명하고, 지역 실정에 맞는 15분 도시 조성을 위해 주민의 목소리를 담아내고자 '남구민과의 행복토크' 시간을 가졌다.이 자리에는 사회적 거리두기 단계를 준수해 박재범 남구청장, 15분 도시 공감정책단, 남구민 등 30명이 함께 했고, 방역수칙에 따라 현장에 자리하지 못한 주민 등 60여 명은 줌(ZOOM)을 통해 온라인으로 행복토크에 참여했다.박 시장은 남구민과 만난 자리에서 ""15분 도시 조성을 위해 중요한 사항은 바로 이동에 관한 것이다""며 ""인공지능 스마트교통체계 도입, 퍼스널 모빌리티 확산 등으로 불필요한 교통체증을 해소하는 것도 필요하지만 시민 모두를 위해서 보행환경 개선을 통한 보행권익 증진이 무엇보다 우선해야 할 것이다""고 말했다.이어 ""기존 자연과 연계된 700리 갈맷길에 도심 속 300리 걷기 좋은 길을 추가해 누구나 걸어서 편리하고 쾌적하게 이동할 수 있는 환경을 만들 것이며, 이를 위해 신규 15개 노선을 중심으로 장애인, 노약자도 쉽고 편하게 걸을 수 있는 보행환경을 조성하고 노선별로 테마를 지정해 스토리가 있는 도보 관광이 가능하도록 조성하겠다""고 밝혔다.더불어 ""남구에는 지역의 역사와 특색을 반영해 청년, 평화, 미식, 산업을 테마로 도심갈맷길을 조성 추진 중이다""면서 ""특히 오늘 제가 걸어봤던 평화와 청년문화의 길에는 증강현실(AR) 기반 스마트거리, 대학로 디자인 거리, 공원 내 스마트 공원길 등 도심길에 미래 기술을 도입하고 디자인 거리를 조성하는 등 청년과 지역민이 모두 편리하고 편안하게 이용할 수 있는 도심 갈맷길을 조성하겠다""고 강조했다.이어 박 시장은 핵심 공약인 '15분 도시 부산'에 대해 직접 설명하고 참석한 구민들의 의견도 청취했다.박 시장은 ""'15분 도시 부산'은 도시에서 살아가는 부산시민들의 행복을 어떻게 실현하고 삶의 질을 향상할 수 있을까 하는 고민에서 시작됐다""고 소개하며 ""촘촘하게 구축한 생활 인프라를 통해 시민들이 대부분 생활을 근거리에서 할 수 있도록 해 삶의 여유를 되찾고 나아가 지속 가능한 지구 환경조성을 위해 탄소중립, 그린 스마트 도시를 구현해가자는 것이 15분 도시 부산의 핵심 사항이다""고 설명했다.그는 ""남구는 '다이나믹 부산'에 걸맞은 역동적인 젊은 도시다. 많은 대학이 있어 청년들이 모이고 부산항, 국제금융단지를 중심으로 활발한 경제활동이 이뤄지는 도시다""며 ""남구의 도시 특색에 맞는 15분 도시 정책은 무엇일지 4개 생활권역(문현, 대현, 우암·감만, 용호)을 기준으로 꼼꼼히 분석해서 부족한 부분을 채우고 생활SOC간 기능이 연계될 수 있도록 추진하겠다""고 말했다.그는 또 ""15분 도시의 성공적인 추진을 위해서는 시민들의 적극적인 관심과 지지가 필요하다""며 ""15분 도시 정책에 시민 한분 한분의 행복을 담을 수 있도록 여러분께서는 각자의 생활권역에 더욱 관심을 두고 돌아봐 주시길 바란다""고 당부했다.이날 남구 주민들은 박 시장에게 ▲오륙도선 트램 조기착공 ▲UN기념공원 경관지구 해제 ▲대연3동 용소부락지 내 소방도로 개설 ▲문현고가교 철거 ▲용호2동 복합청사 건립 ▲용당동 복합청사 건립 ▲부산국제금융센터 3단계 추진시 공공기관 추가 이전 ▲외대 부지 공영개발 추진 등 지역 현안을 건의했다."
54,2021.10.12. 오전 11:02,코로나19 대응 잘한 우수 해수욕장은 어디…속초-변산-대천 선정,"올해 277개 중 244개 개장…해운대에 가장 많은 인파 몰려(서울=연합뉴스) 김보경 기자 = 해양수산부는 신종 코로나바이러스 감염증(코로나19) 사태에도 방역관리 등에 모범을 보인 우수 해수욕장으로 강원 속초·전북 변산·충남 대천 등 3곳을 선정했다고 12일 밝혔다.    해수부는 코로나19 방역에 더해 안전, 환경, 물가 관리, 교통약자 이용 편의, 이용객 만족도 등을 종합적으로 평가해 우수 해수욕장을 선정했다.거리두기 4단계, 방역위해 순찰[연합뉴스 자료사진]먼저 속초 해수욕장은 1.2㎞에 달하는 울타리를 설치한 후 입장객이 안심콜로 등록하고, 체온 스티커를 부착한 후에만 출입하도록 해 방역관리에서 높은 점수를 받았다.    또 노약자와 장애인의 편의를 위해 백사장이나 물놀이에서 이용 가능한 수상 휠체어를 대여했고, 어린이 생존수영 체험 교실도 운영했다.    대천 해수욕장은 민관 협력형 방역관리와 방문객 편의 개선을 위해 노력한 점이 돋보였다.    이 해수욕장은 주변 상권을 하나의 방역권역으로 설정해 진입도로 3곳에 검역소를 설치했고, 드라이브 스루(차량 탑승) 방식으로 방문객 안심콜 등록과 체온 스티커 배부를 했다. 또 드론을 활용해 방역지침도 홍보했다.    아울러 해수욕장 상인회 등으로 구성된 자율방제단을 운영해 민관 협력형 방역체계를 구축했다.    변산해수욕장은 가족 단위 이용객을 겨냥해 물놀이 시 구명조끼 착용을 의무화했고, 구명조끼 무료 대여 서비스도 했다.    여기에 더해 놀이시설을 갖춘 야외 물놀이장과 모래 썰매장, 인공 암벽장, 오토캠핑장 등도 운영해 해수욕장의 방문 매력도를 높였다는 평가를 받았다.    한편 해수부는 해수욕장 이용객 만족도 설문조사 결과 전남 대광 해수욕장과 경남 광암 해수욕장이 이용객 만족도가 가장 높은 것으로 나타났다고 밝혔다.    올해 해수욕장은 전국 277개 중 244개가 개장했고, '사회적 거리두기' 4단계 격상 등으로 22곳이 조기 폐장했다.     전체 이용객은 작년 대비 16% 감소한 2천273만 명으로 집계됐다. 지역별로는 부산과 인천, 전남은 이용객이 감소했지만, 강원과 경남, 울산은 증가했다.시도별 해수욕장 이용객 현황 [해수부 제공. 재판매 및 DB 금지]개장 기간에 가장 많은 이용객이 다녀간 해수욕장은 부산 해운대(504만 명)였고 이어 대천(281만 명), 부산 송정(128만 명) 등의 순이었다.    이철조 해수부 해양정책관은 ""올해는 거리두기 4단계 등 코로나19 확산으로 해수욕장 방역관리에 어려움이 많았지만, 지자체의 노력 등으로 해수욕장에서는 코로나19 전파 사례가 발생하지 않았다""고 말했다. vivid@yna.co.kr"
58,2021.10.19. 오전 5:00,[오늘의 국감] 19일(화),"18일 인천 옹진군 백령도 해병대 제6여단에서 열린 국회 국방위원회 국정감사 현장정검에서 해병대 장병들이 '더쎈 해병 프로젝트' 전투기술을 시연하고 있다. 2021.10.18/뉴스1 © News1 국회사진취재단(서울=뉴스1) = ▲법제사법위 = 법제처 [국회 10:00] 군사법원 [국회 14:00]▲교육위 = 경북대학교, 부산대학교, 경상국립대학교, 전북대학교, 전남대학교, 제주대학교, 경북대병원, 경북대치과병원, 부산대병원, 부산대치과병원, 경상국립대병원, 전남대병원, 전북대병원, 제주대병원 [국회 10:00]▲국방위 = 국방과학연구소 [국방과학연구소 10:00] [현장시찰] 공군 제17전투비행단 [충북 청주 15:00]▲행정안전위 = 서울특별시 [시청 10:00] 서울경찰청 [서울경찰청, 시청감사 종료후]▲문화체육관광위 = 한국예술종합학교, 한국언론진흥재단, 국제방송교류재단, 언론중재위원회, 국립발레단, 국립극단, 국립국어원, 국립국악원, 사행산업통합감독위원회, 한국관광공사, 그랜드코리아레저(주), 한국문화정보원, 한국문화관광연구원, 한국도박문제관리센터 [국회 10:00] ▲농림축산식품해양수산위 = 수산업협동조합중앙회(수협은행 포함), 해양수산과학기술진흥원, 한국수산자원공단, 한국해양교통안전공단, 한국해양진흥공사, 한국어촌어항공단 [국회 10:00]▲보건복지위 = 한국노인인력개발원, 한국사회보장정보원, 한국보건복지인력개발원, 한국보육진흥원, 한국장애인개발원, 아동권리보장원 [국회 10:00]▲환경노동위 = [현장시찰] 시화호 조력발전소 [안산 13:30]		"
60,2021.10.12. 오전 11:00,"'강원 속초·전북 변산·충남 대천'…해수부, 올해 '우수해수욕장'에 선정","'방역·안전·환경·물가관리 분야·교통약자 이용편의·이용객 만족도' 등 종합 평가3개 해수욕장 지자체에 내년 시설개선 위해 국비 1억 지원…해양수산부 장관상·포상금 수여속초해수욕장 백사장 공간구획제(해양수산부 제공)© 뉴스1(세종=뉴스1) 백승철 기자 = 강원 속초시 속초, 전북 부안군 변산, 충남 보령시 대천 해수욕장 등 3곳이 올 여름 코로나19 확산에도 국민들이 안전하게 즐길 수 있는 휴양공간을 제공한 '우수해수욕장'으로 을 선정됐다.12일 해양수산부에 따르면 올해 우수해수욕장은 지난 8월 시·도에서 추천받은 21개 해수욕장을 대상으로 현장평가 등을 거쳐 1차로 8개소를 선발했다.  지난 9월 29일에는 해수욕장 평가위원회를 열어 방역, 안전, 환경, 물가관리 분야와 교통약자 이용편의 및 가치 제고, 이용객 만족도 등을 종합 평가해 최종 3개소를 선정했다.  올해 평가는 장기화된 코로나19 상황에서 누구나 해수욕장을 안심하고 편리하게 이용할 수 있도록 코로나19 방역관리와 장애인 등 교통약자 이용 편의 및 가치 제고를 위한 노력에 중점을 뒀다. 먼저 속초해수욕장은 1.2km에 이르는 해수욕장 구간에 방역울타리를 설치하고 3개의 출입구에서 입장객이 안심콜 등록과 체온스티커를 부착한 후 출입하도록 했으며, 백사장 내 개인파라솔 설치구간을 울타리로 구분해 공간구획제를 운영하는 등 방역관리를 철저했다.또 노약자 및 장애인의 편의를 위해 백사장이나 물놀이에도 이용 가능한 수상휠체어와 일반휠체어 대여서비스, 휴게 쉼터 등을 운영했으며, 24시간 수상안전요원 배치, 어린이 생존수영 체험교실 운영, 유아·어린이 물놀이 공간 제공 등에서 좋은 평가를 받았다.대천해수욕장은 해수욕장과 주변상권을 하나의 방역권역으로 설정해 진입도로 3곳에 검역소를 설치하고, 드라이브 스루 방식으로 방문객 안심콜 등록과 체온스티커 배부를 실시하는 방역시스템을 운영했다. 또 드론을 활용해 안내방송, LED 방역문구 송출 등 주·야간을 가리지 않는 방역지침 홍보와 새벽시간의 백사장 소독 실시 등 상시 방역관리를 추진했다.여기에 체온스티커를 부착하지 않거나 마스크를 쓰지 않으면 이용이 제한되는 안심업소 운영과 해수욕장 상인회 등으로 구성된 자율방제단 운영 등 민·관 협력형 방역체계를 구축했다는 점에서 좋은 평가를 받았다. 아울러, 장애인 등의 백사장 이용을 위한 수상휠체어 대여, 유모차나 일반휠체어의 이동이 용이하도록 백사장 내 카펫(carpet)을 설치하는 등 편의시설을 확충했으며, 반려동물 출입 가능업소 안내 등으로 방문객의 만족도를 높였다.변산해수욕장은 지리적 특성을 이용해 진입도로 3곳에서부터 해수욕장 방문객에 대한 안심콜 등록과 발열 확인을 철저히 실시했다. 또 가족단위 이용객이 많은 소형해수욕장의 특성에 맞게, 물놀이 시 구명조끼 착용을 의무화하고 구명조끼 무료 대여 서비스를 실시했다. 특히, 해수욕장에서 다양한 활동을 즐길 수 있도록 놀이시설을 갖춘 야외 물놀이장, 모래썰매장, 실내·외 인공 암벽장, 오토갬핑장과 야영장 등 다양한 시설을 운영해 해수욕장의 방문 매력도를 높인 점에서 좋은 평가를 받았다. 우수해수욕장으로 선정된 3개 해수욕장 관할 지방자치단체에는 2022년에 해수욕장 시설 개선을 위한 국비 1억 원이 지원되고, 해양수산부 장관상과 100만 원의 포상금이 수여된다. 이와 함께, 해수욕장 이용객 만족도 설문조사 결과를 토대로 ‘전남 신안군 대광해수욕장’과 ‘경남 창원시 광암해수욕장’을 이용객 만족도 우수해수욕장으로 선정해 해양수산부 장관상과 50만 원의 포상금을 수여할 예정이다. 이철조 해수부 해양정책관은 ""올해 해수욕장 방역관리에 어려움이 많았으나, 지자체의 노력과 해수욕장 이용객의 동참으로 해수욕장에서 코로나19 전파사례가 발생하지 않을 수 있었다""며 ""우수해수욕장 관계자 모두에게 감사의 마음을 전하며, 앞으로도 안전하게 다양한 즐거움을 누릴 수 있는 해수욕장을 만들기 위해 지자체와 함께 노력하겠다""고 말했다. 한편 올해 해수욕장은 코로나19로 인해 전국 277개 중 244개가 개장했으며, 사회적 거리두기 4단계 격상 등으로 22곳이 조기 폐장했다. 개장기간 중 이용객은 전년 대비 16%감소한 2273만 명이며, 거리두기 단계 격상 등으로 부산과 인천, 전남지역은 이용객이 감소한 반면, 강원과 경남, 울산지역은 수도권과 부산의 거리두기 4단계에 따른 풍선효과 등으로 이용객이 증가한 것으로 나타났다. 개장한 244개 해수욕장 중 가장 많은 이용객이 다녀간 해수욕장은 부산 해운대 해수욕장(504만 명)이었고, 이어 충남 대천 해수욕장(281만  명), 부산 송정 해수욕장(128만 명) 순으로 나타났다.		"
61,2021.10.15. 오전 5:00,[오늘의 국감] 15일(금),"14일 오후 충남 계룡대에서 국회 국방위원회의 해군본부에 대한 국정감사가 열리고 있다. 2021.10.14/뉴스1 © News1 김기태 기자(서울=뉴스1) = ▲법제사법위 = 서울고법 서울중앙지법 서울가정법원 서울행정법원 서울회생법원 서울동부지법 서울남부지법 서울북부지법 서울서부지법 의정부지법 인천지법 인천가정법원 수원고법 수원지법 수원가정법원 춘천지법 [국회 10:00]▲정무위 = 신용보증기금 한국산업은행 중소기업은행 서민금융진흥원 [국회 10:00]▲기획재정위 = 한국은행 [국회 10:00]▲외교통일위 = <미주반> 주멕시코대사관 [주멕시코대사관10:00] <미주반>주아르헨티나대사관 [주멕시코대사관14:00] <구주B반> 주아랍에미리트대사관 주아프가니스탄대사관 [주아랍에미리트대사관 15:00]▲국방위 = 5·18민주화운동진상규명조사위원회 병무청(대체역심사위원회) 군사망사고진상규명위원회 군인공제회 [국회 10:00]▲행정안전위 = 전라남도 [도청 10:00] 전라남도경찰청 [도경 도청감사 종료후] 부산광역시 [시청 10:00] 부산경찰청 [시경시청감사 종료후]▲농림축산식품해양수산위 = 농업협동조합중앙회 농협경제지주 농협금융지주 (농협은행,농협생명보험,농협손해보험,NH투자증권포함) [국회 10:00]▲산업통상자원중소벤처기업위 = 한국석유공사 한국가스공사 한국에너지공단 한국에너지재단 한국지역난방공사 ㈜강원랜드 대한석탄공사 한국가스기술공사 한국전기안전공사 한국가스안전공사 한국석유관리원 한국광해광업공단 [국회 10:00]▲보건복지위 = 국민건강보험공단 건강보험심사평가원 [국회 10:00]▲환경노동위 = 근로복지공단 한국산업안전보건공단 한국산업인력공단 한국장애인고용공단 한국고용정보원 학교법인 한국폴리텍 한국기술교육대학교 노사발전재단 건설근로자공제회 한국사회적기업진흥원 한국잡월드 한국고용노동교육원 [국회 10:00]▲국토교통위 = 인천국제공항공사 한국공항공사 항공안전기술원 국립항공박물관 [인천국제공항공사10:00]		"
64,2021.10.19. 오후 12:47,"SK텔레콤, 착한셔틀 더 안전하고 편리하게 진화","◆…사진제공:SK텔레콤SK텔레콤(대표 박정호)이 부산시와 한국장애인고용공단 및 연구개발특구진흥재단과 2022년 착한셔틀 시범사업 등을 골자로 하는 '민관 협업 더 착한 일자리 도약' 업무협약을 체결했다.   지난해 10월 선 보인 착한셔틀은 중증장애인 근로자의 자택 앞에서 근무지까지 운행하는 도어 투 도어(Door to Door) 셔틀버스 서비스로 타인의 도움 없이 대중교통 이용이 어려운 장애인 근로자의 출퇴근 안전과 효율적인 시간관리를 지원한다.  SK텔레콤은 T맵 데이터를 분석해 착한셔틀에 최적의 안전경로를 제공하는 기술을, 한국장애인고용공단은 위치확인 보조공학기기인 스마트지킴이를 지원하며 모두의 셔틀은 실시간 차량 위치 및 좌석을 확인하고 탑승 예약을 할 수 있는 솔루션을 제공하고 있다.   부산 시범사업을 계기로 착한셔틀에 최신 ICT 솔루션을 추가로 접목해 안정성과 편의성을 높였으며 셔틀 운행에 최적화된 자동 배차 엔진 TMS(Transportation Management System)를 적용, 배차계획 수립시간과 총 운행거리를 단축하는 것과 함께 실시간 교통정보 및 도로기반 정보를 반영해 경유지를 최적화하는 등의 효과를 거둘 수 있게 됐다.   또한, 착한셔틀 탑승고객, 승하차보조원, 운전기사 전용 애플리케이션을 각각 제작하여 탑승고객들의 실시간 승하차 정보 및 이동 중인 차량 위치 정보를 고객과 보호자에게 실시간 공유하고 수기로 관리하는 운행일지를 모바일로 체크할 수 있도록 운영 효율화를 지원할 계획이다.   부산시는 이번 시범사업을 통해 장애인 근로자 신규일자리 창출과 착한셔틀 승하차보조원 고용 및 인건비를 지원하는 외에도 장애인 고용과 이동권 증진을 위해 노력할 계획이다.   한국장애인고용공단은 스마트지킴이를 보조공학기기로 지정하여 착한셔틀 탑승 고객들에게 무상 제공하고, 착한셔틀에 출퇴근 요금지원 정책을 연계해 장애인 근로자들이 경제적 부담을 덜 수 있도록 지원할 계획이다.		"
68,2021.10.12. 오전 5:00,[오늘의 국감] 12일(화),"© News1 이동해 기자(서울=뉴스1) = ▲법사위 = 헌법재판소, 헌법재판연구원[국회 10:00] 고위공직자범죄수사처[국회 14:00]▲정무위 = 국민권익위원회, 국가보훈처, 한국보훈복지의료공단, 독립기념관, 88관광개발㈜ [국회 10:00]▲기재위 = 관세청, 조달청, 통계청[국회 10:00]▲국토교통위 = 한국철도공사, 국가철도공단, ㈜에스알, 코레일관광개발㈜, 코레일로지스㈜, 코레일네트웍스㈜, 코레일유통㈜, 코레일테크㈜[한국철도공사 10:00]▲교육위= 부산광역시교육청, 대구광역시교육청, 광주광역시교육청, 울산광역시교육청, 제주특별자치도교육청, 전라북도교육청, 전라남도교육청, 경상북도교육청, 경상남도교육청[국회10:00]▲과학기술정보방송통신위 = 한국방송공사, 한국교육방송공사[국회 10:00]▲외교통일위 = 주카자흐스탄대사관, 주상트페테르부르크총영사관[주러시아대사관 10:00] 주제네바대표부 주오스트리아대사관 [주제네바대표부 14:00]▲국방위 = 방위사업청[국회 10:00]▲행정안전위 = 인천시[국회 10:00] 인천경찰청[시청 감사 종료 후] 충청남도[국회10:00] 충남경찰청[도청 감사 종료 후]▲문화체육관광 = 대한체육회, 국민체육진흥공단, 태권도진흥재단, 대한장애인체육회[국회 10:00]▲농림축산식품해양수산위 = 산림청, 산림조합중앙회, 한국임업진흥원, 한국산림복지진흥원[국회 10:00]▲산업통상자원중소벤처기업위 = 한국전력공사, 한국수력원자력, 한국전력거래소, 한국전력기술, 한전국제원자력대학원대학교, 한국원자력환경공단, 한전KDN, 한전KPS, 한국원자력연료, 한국에너지정보문화재단, 한국남동발전, 한국중부발전, 한국서부발전, 한국남부발전, 한국동서발전, 한전엠씨에스㈜[국회 10:00]▲환경노동위 = 경제사회노동위원회, 중앙노동위원회, 최저임금위원회, 산업재해보상보험재심사위원회, 고용보험심사위원회, 고용노동부고객상담센터, 서울지방고용노동청, 중부지방고용노동청, 부산지방고용노동청, 대구지방고용노동청, 광주지방고용노동청, 대전지방고용노동청[국회 10:00]		"
