,기사요약
10,"25일 장애경씨가 출근길에 나서기 위해 휠체어를 버스에 주차하고 있다그 좌석을 접어야 휠체어를 고정할 수 있거든요""  25일 겨우 버스에 오른 장애경씨가 누군가에게 말했다저상버스는 휠체어가 오를 수 있지만 그게 끝이 아니다그는 ""한 어르신께 휠체어 주차 때문에 자리를 비켜달라고 하자 '나도 노약자'라며 언성을 높인 분도 있었다""면서 ""분쟁이 벌어지면 나 때문에 버스가 못 간다고 생각하는 듯한 승객들 눈빛이 항상 부담스럽다""고 말했다/사진=김동규 기자   ■""뭐 하러 여기까지 나왔냐"" 곱지 않은 시선 장씨는 서울 노원구 자택에서 서울 종로구 직장까지 주 4회 '저상버스'를 타고 출근한다/사진=김동규 기자  ■오지 않는 저상버스, 결국 환승 포기 환승은 장씨에게 또 다른 장애물이다장씨는 혜화동 로터리 인근에서 버스에 내려 회사까지 약 20분가량 휠체어로 이동했다장씨는 ""집에서 회사 앞 정류장까지 버스를 타고 이동하려면 삼선교 앞에서 273번 노선으로 환승을 해야 하지만 환승 시 저상버스를 잡는 것은 하늘의 별 따기""라며 ""애당초 버스 환승은 기대도 하지 않는다""고 말했다"
11,(서울=뉴스1) 김진환 기자 = 박경석 전국장애인차별철폐연대 이사장이 6일 오전 서울 종로구 종각역 인근 버스전용차로에서 운행 중인 시내버스를 점거한 후 저상버스 100% 도입을 촉구하고 있다정부가 관련 제도 개편으로 저상버스 의무 도입을 확대하면서다국토교통부는 노선버스 대·폐차 시 저상버스 도입을 의무화하기 위한 세부내용을 담은 '교통약자의 이동편의 증진법 시행령·시행규칙' 개정안을 입법예고 한다고 18일 밝혔다교통행정기관이 도입 예외를 인정할 때도 장애인
12,"[기획 - 장애인 기본권 현주소 (상)이동권 확보 미흡]높은 인도턱·정류장 불법주정차 인한 간격 미확보 등 난관18개 시·군 중 8곳만 도입… 교통약자 보행환경 개선 목소리최근 정치권에서 장애인단체의 ‘지하철 승하차 시위’가 논란이 되면서 ‘교통약자 이동권’이 화두가 됐다정부와 지자체가 장애인 이동권 보장을 위해 저상형 시내버스 보급을 확대하고 있지만, 현장에서 이용이 어려운 것으로 나타났다시내버스 운전기사들은 “버스 측면을 인도에 30㎝ 간격으로 붙여야 하는데, 정류장 인근 불법 주정차 차량으로 앞뒤 간격이 확보되지 않아 장애인을 두고 떠난 경험도 있다”고 말했다저상형 시내버스 도입도 지자체별로 천양지차다"
13,"장애인 콜택시를 제외하면 이용할 수 있는 대중교통수단은 저상버스뿐인데, 도입률이 5대 중 1대꼴에 머무르고 있습니다심지어 도시 지역을 제외한 대부분의 시군에서는 단 한 대도 운행하지 않고 있어 장애인 이동권을 보장받지 못하고 있다는 지적입니다버스가 한참을 이리저리 움직인 끝에 내려온 슬로프는 결국 고장 나 버렸고, 시간이 지체되자 버스에 타고 있던 손님들이 하나 둘 내립니다그나마 전주와 군산, 익산과 같이 저상버스가 일부 도입된 도시 지역은 사정이 나은 편입니다2021년 기준 정읍시에서 운용되고 있는 저상버스는 전체 53대 중 단 1대, 나머지 10개 시군은 저상 버스가 단 1대도 없습니다[전라북도 관계자]""산악 지형은 저상버스가 너무 낮아가지고, (바닥부터) 타는 데까지 34cm 밖에 안되거든요"
14,"일러스트레이션 임성훈시각장애인 제삼열 씨와 휠체어를 타는 지체장애인 윤현희 씨런던 시내를 걷다 택시가 지나가기에 혹시나 싶어 손을 들었는데 거짓말처럼 멈춰 섰다한국에선 장애인 콜택시를 불러야 한다제삼열 윤현희 씨 부부는 유럽여행기 ‘낯선 여행, 떠날 자유’에서 콜택시가 늦게 와 놓쳐버린 기차, 입장할 수 없었던 공연장에 대해 썼다① 장애인 콜택시는 안전을 위해 규정 속도보다 느리게 이동하기 때문이다③ 시의 경계를 넘어갈 때마다 새로운 콜택시를 불러야 하기 때문이다"
15,"또, 시내버스는 2025년까지 저상버스를 100% 도입해 교통약자의 접근성을 높일 예정입니다마을버스 역시 올해 71대, 2025년까지 73개 노선 235대 도입을 추진합니다백호 서울시 도시교통실장은 ""장애인 등 교통약자를 비롯한 모든 시민이 서울 대중교통을 안전하고 편리하게 이용할 수 있도록 지속적인 인프라 확충과 환경개선을 추진해 나가는 데 노력하겠다""고 밝혔습니다"
16,"한국에선 장애인 콜택시를 불러야 한다결국 부부는 잔뜩 짐을 든 채 휠체어 바퀴가 지하철 승강장에 빠져가며 한밤중에 귀가했다자동차로 1시간 10분이면 가는 거리인데 장애인 콜택시를 탔더니 5시간 8분이 걸렸다장애인이 지하철이나 저상버스를 타는 데 불편함이 없는 나라는 한국보다 장애인용 택시가 오히려 적다고 한다▷제삼열 윤현희 씨 부부는 유럽여행기 ‘낯선 여행, 떠날 자유’에서 콜택시가 늦게 와 놓쳐버린 기차, 입장할 수 없었던 공연장에 대해 썼다"
17,"장재성 광주시의원, 시정 질문서 지적이용자가 저상버스 기사에게 승차 예약을 하는 서비스인 '광주교통약자버스' 애플리케이션은 잦은 오류가 발생하는 것으로 확인됐다"
18,영상의 주인공은 휠체어를 탄 유튜버 곽경원(27)씨저상버스는 장애인 곽씨가 있다는 사실을 뒤늦게 발견하고는 휠체어가 탈 수 있는 경사판(슬로프)을 내리기 위해 직진과 후진을 반복한다저상버스 타고 이동하는 곽경원 씨[유튜브 채널 '구디로그 스튜디오' 영상 캡처]    구디로그 스튜디오가 지난 6일 '체어맨-세기의 대결'이란 제목으로 올린 이 영상의 조회 수는 400회 남짓이다태어날 때부터 다리가 불편해 휠체어를 타고 움직여야 했던 만큼 '장애인 이동권'은 언제나 고민해왔던 문제였다영상에서 확인된 것처럼 실제 저상버스는 경사판 등의 시설 점검이 제대로 돼 있지 않거나 휠체어 안전장치를 고정하기도 전에 출발하는 경우가 흔하다
19,부산 지역 장애인 이동권은 서울보다도 턱없이 열악할 뿐 아니라 실태 파악조차 제대로 되지 않아 부산시의 적극적인 조치가 필요하다는 목소리가 높다28일 부산시에 따르면 지난해 12월 기준 부산시 시내버스 총 2517대 중 휠체어 접근이 가능한 저상버스는 728대다서울 66%·대구 48% 비해 저조저상버스 도입 의무화 별무소용언덕 운행 불편 이유 교체 기피‘두리발’도 시간대별 일부만 운행불편사항 실태조사부터 나서야지난해 연말 개정된 ‘교통약자의 이동편의 증진법’에 따르면 버스를 교체할 때 의무적으로 저상버스를 도입해야 한다부산시 버스운영과 관계자는 “교통약자법에 따라 도로의 구조나 시설이 저상버스 운행에 적합하지 않으면 저상버스로 교체하지 않아도 된다”며 “부산은 지역 특성상 언덕이 많아 저상버스 운행이 불편한 곳이 있어 버스를 전부 저상버스로 교체하지 않는다”고 말했다휠체어 탑승이 가능한 부산시 장애인 콜택시 ‘두리발’은 총 206대에 불과하다2021년 기준 부산시 등록장애인 17만 6000여 명 중 휠체어 이용 장애인 수는 집계가 안 됐다
20,"전국장애인차별철폐연대(전장연) 회원들이 지난달 13일 오전 서울 5호선 동대문역사공원역 지하철에서 장애인권리예산 삭감을 규탄하며 제36차 출근길 지하철 탑승 시위를 벌이고 있다면접장으로 향하던 지난 25일 오전 전국장애인차별철폐연대(전장연)가 지하철에서 시위를 벌인 것전국장애인차별철폐연대가 엿새 만에 지하철 탑승 시위를 재개한 지난달 19일 오전 서울 지하철 2호선 시청역에서 전장연 관계자들이 탑승을 기다리고 있다[사진 출처 = 연합뉴스] 장애인 권리 예산과 이동권 보장 등을 촉구해온 전장연이 연일 출근길 시위에 나서면서 시민들 사이에서 갑론을박이 이뤄지고 있다전국장애인차별철폐연대 회원들이 지난달 28일 오전 서울 9호선 여의도역에서 출근길 지하철 탑승 시위를 벌이고 있다시위의 취지에는 공감하나, 시민들의 불편을 야기하는 방식에는 동의할 수 없단 비판도 나온다전국장애인차별철폐연대가 지난 19일 장애인 이동권 보장을 요구하고 박경석 대표에 대한 법원의 유죄 판결을 규탄하며 지하철 탑승 시위를 벌였다[사진 출처 = 전국장애인차별철폐연대, 연합뉴스] 세계 장애인의 날이었던 지난해 12월 3일부터 이달 28일까지 전장연 시위로 지하철이 멈춰선 건 40차례가 넘는다"
21,"[짬] 장애인 인권 활동가 이구원씨장애와 인권 등 내가 할 수 있는 위치에서 세상을 위해, 그리고 사람을 위해 일하고 싶어요지난 8일 충북 청주시 용암로 인권연대 숨 사무실에서 이씨를 만났다인권연대 숨의 활동가로 특별채용된 이구원씨는 주 4일 출근해 ‘일꾼’으로 활동중이다창립 9돌을 맞은 숨은 최근 이씨를 활동가로 특별채용했다장애와 인권에 관한 그의 경험과 지혜는 세상에 큰 울림이 될 것”이라고 말했다장애인 이동권·접근권·자립·인권에 관심이 많아요월요일부터 목요일까지 주 4일 인권연대 숨에 출근해 장애 인권 관련 교안을 쓰고 있다”그는 또 장애인 교통 불편 개선을 위한 현장 프로젝트를 기획하고 있다하루 아침에 나아지지 않겠지만 조금씩, 천천히 세상을 바꾸고 싶어요“제가 선택했다기보다 운명적으로 신학을 공부했고, 선교사로 지냈어요”그는 선교사로 살면서도 2016년부터 자립을 꿈꿨다신체적 한계가 있어 어떨지 모르지만 내가 잘 할 수 있는 일, 하고 싶은 일을 하고 사람들과 연대·소통하면서 살고 싶어요"
22,"서울시의회 제공 코로나 속 현장 찾아 발로 뛰는 서울시의회2022년 청년주택 8만실 공급 규제 완화 역세권 대상지 확대 어르신·장애인·임신부·어린이 내년부터 마을버스 이용 편해져 경계선 지능인 평생교육 지원 市 프로그램 운영 의무화 마련2018년 6월 13일 열린 제7회 전국동시지방선거에서 서울 시민들은 시의원 110명을 뽑았다시의원들은 비상상황 속에서도 역세권 청년주택 공급 활성화를 위해 노후 비거주시설을 청년주택으로 다시 지을 수 있게 조례를 개정하고, 학교에서 코로나19 선제 대응과 예방을 할 수 있도록 근거를 마련했다올해 2월 5일 시의회 도시계획관리위원회 소속 김재형(더불어민주당·광진4) 의원이 대표 발의해 본회의를 거쳐 3월 26일 공포된 ‘역세권 청년주택 공급 지원에 관한 일부 개정 조례안’은 대형 상점, 주유소, 결혼식장 등 비주거 건물이 노후도 기준 적용을 받지 않도록 해 역세권 청년주택 사업 대상지를 확대할 수 있게 했다9월 15일 시의회 본회의를 통과해 10월 5일 공포된 송도호(민주당·관악1) 시의원의 ‘마을버스 재정지원 및 안전 운행기준 등에 관한 개정 조례안’은 고령자, 장애인, 임신부, 어린이 등 교통약자의 편리한 마을버스 이용을 위해 저상버스 및 관련 안전장치를 장착한 버스가 도입될 수 있도록 예산의 범위에서 별도 지원시책을 시행하도록 시장의 책무를 명문화했다송 시의원의 조례안과 같은 날 공포된 채유미(민주당·노원5) 시의원의 ‘경계선 지능인 평생교육 지원 조례안’은 법령 지원 범위 밖에 있어 정책 사각지대에 방치됐던 경계선 지능인에 대한 지원 필요성을 전국 최초로 부각시킨 모범 조례다"
23,"1억9천만원 넘는 보조금 지원 등에도 영천시 및 시내버스 업체는 저상버스 보급 확대에는 뒷짐만영천지역을 운행하는 시내버스 70여대 중 교통약자를 위한 저상버스는 단 2대에 불과해 보급 확대를 호소하는 목소리가 커지고 있다영천시 등에 따르면 지역 유일의 시내버스 업체인 영천교통에서 운행하는 시내버스 70여대 중 저상버스는 2018년 8월 도입된 단 2대에 불과하다영천시 관계자는 ""올해 2대분의 보조금 예산 편성과 함께 대당 1천500만원 정도의 운영비 지원 등 저상버스 보급 확대를 위한 다양한 방안을 마련해 나갈 것""이라고 했다"
24,"유니버설 디자인 적용한 구글코리아 새 오피스(서울=연합뉴스) 이재희 기자 = 27일 오전 서울 강남구 구글코리아에서 열린 유니버설 디자인 적용 새 오피스 공간 소개 간담회에서 참석자들이 공간을 둘러보고 있다kr(서울=연합뉴스) 이정현 기자 = 구글코리아는 장애인과 비장애인 모두 심리·공간적 제약 없이 함께 일할 수 있는 '유니버설 디자인'을 적용한 역삼동 사무공간을 완성해 27일 공개했다유니버설 디자인은 장애 유무나 연령 등과 관계없이 모든 사람이 제품·건축·환경·서비스 등을 보다 편하고 안전하게 이용할 수 있도록 설계하는 디자인 분야로 1990년대 미국 노스캐롤라이나 주립대학의 유니버설디자인센터에서 근무한 로널드 메이스가 제창했다이에 따라 개인 업무공간부터 회의실, 라운지, 화장실 및 다양한 편의시설과 안내문에 이르기까지 장애인과 비장애인 모두가 불편 없이 이용할 수 있게 됐다고 구글코리아는 설명했다점자 새겨진 구글코리아 새 오피스(서울=연합뉴스) 이재희 기자 = 27일 오전 서울 강남구 구글코리아에서 공개한 유니버설 디자인 적용 새 오피스에 점자가 새겨져 있다"
25,탑승 과정에서 발생하는 불편과 함께 일부 시민의 따가운 시선까지 더해지다 보니 이용을 꺼릴 수밖에 없는 실정이다리프트가 고장난 버스가 오면 하염없이 다음 버스를 기다려야 한다저상버스를 탈 때마다 느껴지는 따가운 시선은 장애인들이 대중교통을 이용하지 않는 주된 이유다장애인들의 저상버스 이용률을 높이기 위해선 버스 탑승 과정에서 발생하는 불편을 최소화하는 게 급선무라고 주장한다이들이 제안하는 가장 대표적인 대안은 '저상버스 예약 시스템'이다신중언 기자 shyoung3@imaeil
26,‘2019년 장애인 이동권 실태조사’ 결과특별교통수단 만족도 50% 밑돌아© 뉴스1(제주=뉴스1) 홍수영 기자 = 제주지역 저상버스 운행이 점차 확대되고 있지만 여전히 버스정류장의 공간 협소와 시스템 및 인식 부족 문제 등으로 인해 장애인들의 서비스 이용이 어려운 것으로 나타났다사단법인 전국장애인인권포럼 산하 제주장애인정책모니터링센터는 12일 오후 제주도의회 도민의 방에서 ‘2019년 장애인 이동권 실태조사’ 결과를 발표했다조사결과 휠체어를 이용하는 장애인이 버스정류장에서 이동하고 서비스를 이용하기까지 장해물이 많은 것으로 나타났다또 22%(11회)는 운전원이 장애인 승차를 돕는 경사로 조작에 능숙하지 못한 탓에 시간이 많이 소요돼 다른 승객들에게 불편을 초래하기도 했다사단법인 전국장애인인권포럼 산하 제주장애인정책모니터링센터가 12일 오후 제주도의회 도민의 방에서 ‘2019년 장애인 이동권 실태조사’ 결과를 발표하고 있다특히 긴 대기시간으로 인한 불편이 큰 것으로 나타났다
27,"저상버스 이용에 따른 불편함에다 다른 승객의 눈치까지 보느라 이용을 꺼릴 수밖에 없는 분위기 탓이다배차 간격 등 무엇보다 저상버스 이용에 따른 불편이 문제겠지만, 장애인의 더딘 승차 등에 따른 다른 승객의 부담스러운 시선을 지적할 만하다저상버스를 타고 내리는 시간이 보통 3, 4분 걸리면서 다른 탑승객의 시선을 의식한 장애인들이 심리적 압박감 탓에 버스를 꺼릴 수밖에 없다이제 저상버스 도입 16년이 흐른 만큼, 대구시는 보급 중심 정책의 장단점 점검에도 나설 시점이 됐다"
28,군은 와와버스가 성공적으로 정착한 것으로 보고 교통약자의 편의 증진과 주민들을 위한 맞춤형 교통서비스 확대 사업에 돌입하기로 했다김영환 군 안전과장은 “군민과 정선군을 찾은 관광객들이 더욱 편안하고 쾌적한 환경 속에서 대중교통을 이용할 수 있도록 맞춤형 교통서비스 제공에 더욱 힘쓰겠다”고 말했다
29,"충주에 저상버스가 한 대도 없다며 일상 생활에 장애인들이 배제되어 있다고 주장했습니다충주시는 수소버스 충전소가 마련되면 올해 말까지 수소 저상버스 8대를 운행할 계획이지만 장애인 단체는 이마저도 부족하다고 말합니다""] 충주시는 다음 달  행복콜 5대를 보강할 계획이지만 당장 운영 방법을 바꾸기는 어렵습니다""] 충주에 거동이 불편한 중증 장애인은 5,100여 명"
30,"충주에 저상버스가 한 대도 없다며 일상 생활에 장애인들이 배제되어 있다고 주장했습니다충주시는 수소버스 충전소가 마련되면 올해 말까지 수소 저상버스 8대를 운행할 계획이지만  장애인 단체는 이마저도 부족하다고 말합니다""] 충주시는 다음 달  행복콜 5대를 보강할 계획이지만 당장 운영 방법을 바꾸기는 어렵습니다음성군은 사업비 1억 원을 들여 맹동면 동성리 일원 상가 앞 인도 양쪽 100미터 구간에 조형물과 지중등을 설치했다고 밝혔습니다음성군은 추가로 사업비를 지원받아 도시 미관을 개선하고 운전자 시야 확보를 위해 야간 보행환경 개선사업을 추진할 계획입니다충주시, 주민 협업 마을 브랜드 개발 추진 충주시가 '평생학습 동아리와 주민 협업 마을 브랜드 개발 사업'을 추진합니다"
31,"&lt;앵커&gt;장애인이 쉽게 타고 내릴 수 있게 만든 저상버스 종종 보셨죠?[임상욱/한국장애인연맹 조직국장 : 간혹가다 있어요[진짜 고장이 났을 수도 있고, 기사님이 작동법을 잘 몰라서 그럴 때도 있어요]장애인석에 앉은 비장애인 때문에 도리어 눈치를 볼 때도 있습니다이용 불편과 시민의식 부족, 정부의 무관심 때문에 저상버스가 장애인들로부터 외면받고 있습니다"
32,특히 장애인과 노약자를 위한 저상버스를 타는 경우가 많은데 불편한 점이 있다좌석이 한쪽으로 치우쳐 허리와 다리가 아파 앉아서 가기가 불편하다
33,"세종시가 시정 4기 첫 추가경정예산을 1천427억 원 규모로 편성했습니다민생경제 활성화와 소상공인 지원, 시민불편 해소, 미래전략수도 조성을 위한 사업 추진 기반 마련, 부채상환 등 재정건전성 확보에 초점을 맞췄습니다"
