,기사요약
10,
11,[앵커] 최근 장애인 단체의 지하철 시위가 이어지면서 이들의 이동권 보장 문제가 다시 주목을 받고 있습니다[기자]장애인들이 휠체어를 탄 채 지하철 스크린도어를 오릅니다전국장애인차별철폐연대가 이동권 보장을 포함한 장애인 권리예산 마련을 촉구하며 출근길 지하철 시위를 재개하고 나선 모습입니다장애인과 노약자의 이동권을 둘러싼 사회적 관심이 모아지는 가운데 이동약자들의 권리를 보장하려는 움직임도 점차 커지고 있습니다
12,11개 지자체에서는 점자블록 파손 및 훼손이 지적됐다
13,"김노석씨가 경기 안양시 이지무브 본사에서 장애인 보조기기를 수리하고 있다""12년째 장애인 이동용 보조기기를 만들고 수리하는 김노석(60)씨는 11일 한국일보와의 인터뷰에서 지방 출장을 이야기하며 활짝 웃었다김씨는 장애인 보조기기를 다루는 기사지만, 동시에 중도장애를 앓고 있는 장애인이기도 하다이지무브 제공김씨는 1997년 갑작스러운 낙상사고로 척추가 손상돼 장애를 갖게 됐다그러면서 ""가구는 무거워서 나 같은 중도 장애인에게는 어려운 종목이지만 꾸준히 노력하는 방법밖에 없었다""고 말했다김씨는 같은 해 현 직장인 '이지무브'에 입사했다김씨는 '자세 유지기기 담당' 인데, 주로 장애 아동을 위한 보조기기를 제작·개조·수리·검수하고 있다이지무브 관계자는 ""(김씨가) 장애를 가지고 일을 한다는 게 쉽지 않을텐데 불편한 몸으로 전국에 출장을 가는 것 자체가 대단하다""며 ""직원들에게 많은 귀감이 되는 분""이라고 평가했다김씨는 마음이 아프지만 장애인을 바라보는 주위의 시선을 극복해 내기 위해 열심히 일하는 것 말고는 할 수 있는 게 없었다고 했다그러면서 김씨는 지난해 강원 원주시 출장에서 만난 장애 아동을 떠올렸다그는 이어 ""저와 같이 장애를 가진 아이들이 제가 만든 보조기기를 사용한다고 생각하면 모든 순간이 기쁘다""며 ""특히 이처럼 아이에게 딱 맞게 제품을 만들어 줬을 때는 날아갈 듯 행복하다""고 말했다이지무브 제공김씨는 보조기기를 만들고 수리하는 업무뿐만 아니라 장애인 관련 교육 활동도 활발히 하고 했다"
14,"김훈배 공공교통네트워크 정책위원 제공""왜 엘리베이터 놔두고 에스컬레이터 탔나?"" 서울 지하철역에서 4월 7일 에스컬레이터를 타다가 한 전동휠체어 이용자가 사망했다는 기사 댓글을 보니 위험한 선택을 한 고인을 비난하는 목소리가 가득했다지하철 엘리베이터는 휠체어 이용자들에겐 괴로움의 공간이기도 하다내가 아는 대학생 휠체어 이용자는 새치기하는 어르신들과 싸우기 싫어서 항상 엘리베이터 앞에서 5~10분 기다린단다내 딸도 엘리베이터 앞에서 몇 번 새치기당하다가 타면 휠체어 때문에 좁다며 욕하는 어르신들이 있단다이렇게 항상 엘리베이터가 만원에 북새통을 이룬다면 엘리베이터 고장 확률도 높아진다'지하철 엘리베이터 설치율 94%'라는 수치의 함정이다"
15,"잇단 지하철 기습시위에 시민들 불편 '가중'서울시, 장애인콜택시·역사 엘리베이터 설치전장연, 인수위에 콜택시 등 국고지원 요청답변 거부시 장애인의 날 이후 시위 나설듯”(4월 12일 오세훈 서울시장 기자간담회 발언) 장애인 단체가 출근길 기습 시위를 벌인 이후 장애인의 이동권 문제가 뜨거운 감자로 부상하고 있다이런 상황에서 시는 출근길 시민들에게 불편을 야기하는 시위를 최대한 막기 위해 오는 20일 장애인의 날을 맞아 특단의 대책을 발표할 예정이다서울시 관계자는 17일 “오는 20일 장애인의 날을 맞아 저상 버스 및 장애인 콜택시 확대, 보도 개선작업 등 장애인 이동권 문제를 해결하기 위한 대책을 발표할 것”이라고 말했다(사진=연합뉴스 제공)장애인 단체로 구성된 전국장애인차별철폐연대(이하 전장연)는 지난해 3월부터 장애인콜택시 등 특별교통수단을 운영하거나 발달장애인 지원 등 권리예산을 확보해 달라며 시위를 이어가고 있다"
16,"[앵커]문재인 대통령의 부인, 김정숙 여사의 의전 비용 논란이 계속되고 있습니다이준석 국민의힘 대표와의 갈등도 계속되고 있습니다최근 온라인 커뮤니티에서 문재인 대통령의 부인, 김정숙 여사가 착용한 옷과 액세서리가 공개되면서 '옷값' 논란이 불거졌죠[정미경/국민의힘 최고위원 (지난 28일) : 김정숙 여사의 그 브로치가 진짜 2억이 넘는 거냐, 뭐 짝퉁은 2만원 정도라는데, 뭐 그다음에 진짜 옷값이 국가기밀이냐][정경희/국민의힘 의원 (어제) : 청와대가 국가 안보를 들먹이자 국민들은 김정숙 옷에 핵잠수함 조정 장치가 있느냐 아니면 사드 발사 단추가 있느냐며 분개하고 있습니다김 여사의 의상 구입에 특수활동비 등 국가 예산을 사용한 적이 없고, 사비로 부담했다는 겁니다[탁현민/청와대 의전비서관 (CBS '김현정의 뉴스쇼') : 관저에서 키우는 개 사룟값도 대통령이 직접 부담하시는데 그걸 그렇게 했다고 생각하는 것 자체가 상당히 놀라운 발상이죠) 특수활동비에 대해서 지금까지 대통령의 특수활동비 내역을 밝히지 않아 온 그런 관례를 알고 오히려 마치 논두렁 시계 같은 가짜 뉴스를 마구 퍼뜨리고 있는 것으로 보여집니다]그러면서 김정숙 여사의 옷값이 '대통령 기록물'이 돼서, 15년 뒤에 공개되는 점에 대해 비판했습니다당분간 '김정숙 여사의 옷값'을 둘러싼 논란은 계속될 것으로 보입니다이들이 요구하는 것은 '인수위의 장애인 이동권'과 관련한 답변 그리고 국민의힘 이준석 당대표의 사과였습니다그동안 이준석 대표는 SNS로 전장연의 시위를 지속적으로 비판해왔는데요[이준석/국민의힘 대표 (지난 28일) : 선량한 시민 최대 다수의 불편을 야기해서 뜻을 관철하겠다는 방식은 문명사회에서는 받아들이기 어려운 방식입니다]하지만 전장연이 '출근길 지하철 시위'를 중단하고 '삭발 시위'를 이어가는 중에도 이준석 대표는 '사과는 없다'고 선을 그었습니다[이준석/국민의힘 대표 (음성대역) : 전장연이 지하철 통행을 막아 시민들의 불편을 초래해서 목적을 달성하는 것을 포기했습니다이준석 대표의 이러한 발언이 장애인 단체를 서로 갈라 세우는 것이고 지장협은 대선 기간에 집행부가 윤석열 후보를 공개적으로 지지한 단체라는 겁니다이준석 대표와 전장연의 갈등이 계속되는 가운데 국민의힘 내부에서도 비판의 목소리가 나온 바 있었죠그리고 윤석열 당선인도 지난 선거 과정에서 저상버스를 포함한 장애인의 이동권을 확보하고 저희가 지켜 드린 데 있어서 공약을 한 바가 있고요[이준석/국민의힘 대표 (음성대역) : 언론이 갈라치기 하려고 계속 인수위에 이런저런 질문을 하나 본데 김은혜 의원이 언급한 당선인의 저상버스 공약을 만든 게 이준석입니다&gt; 마지막 소식의 해시태그는 '갈등 일단락?'입니다"
17,"오 시장은 25일 오후 열린 제306회 서울시의회 임시회 제1차 본회의에서 최근 장애인 단체의 시위에 대한 개선책이 있냐는 김화숙 의원의 질의에 ""지하철 1역사 1동선, 저상버스 도입 등 여러 변화를 감안해서라도 시민들이 대중교통을 이용할 때 발을 동동 구르는 일이 없도록 자제해 달라""고 말했다"
18,"장애인 단체가 이동권 보장 시위를 벌인 가운데, 서울시는 2024년까지 서울 지하철 모든 역사에 엘리베이터 등을 설치해 교통약자가 도움 없이 지상에서 역사 내부까지 이동할 수 있도록 하겠다고 밝혔습니다우선, 지하철에 엘리베이터와 같은 승강 편의시설을 설치해 2024년까지 교통 약자가 다른 사람의 도움 없이도 편하게 이동할 수 있는 이른바 ‘1역사 1동선’이 가능하도록 할 방침입니다"
19,"삼락·화명생태공원 화장실 대부분 휠체어 접근 불가…엉터리 리프트부산서 장애인의날 앞두고 이동권 등 장애인 기본권 보장 촉구리프트만 있고, 작동하지 않는 장애인 화장실이곳은 휠체어 리프트를 갖춘 칸막이가 별도로 있었지만, 정작 장애인은 이용할 수 없었다장애인 화장실이 아예 설치되지 않은 곳이 4곳이고, 장애인 화장실은 있지만, 리프트가 제대로 작동하지 않는 곳도 4곳이다전체 9개 화장실 모두 휠체어 리프트가 설치돼 있었지만 4곳은 제대로 작동하지 않았다장애인은 이용할 수 없는 공원 화장실[손형주 기자]    이날 부산에서는 장애인 이동권 개선을 요구하는 목소리도 함께 나왔다"
20,"ⓒ 홍서윤 제공    ""이준석 대표는 장애인 다음에 또 누굴 차별할 것인가"" 홍서윤 더불어민주당 비상대책위원회 대변인은 지난주부터 이어지고 있는 이준석 국민의힘 대표의 '장애인 지하철 시위' 관련 발언을 ""혐오정치의 한 형태""라고 강조했다척수장애인인 홍 대변인은 28일 &lt;오마이뉴스&gt;와의 전화인터뷰에서 ""이전엔 여성과 남성을 성별로 갈라치기 하더니 이번엔 장애인 이슈를 가지고 왔다""라며 ""사람들의 욕망이나 자극적 포인트의 트리거(trigger, 방아쇠)가 되는 소통 방식은 정말로 경계해야 한다""라고 지적했다ⓒ 남소연   홍서윤 대변인은 ""이 대표의 이야기엔 정책이 없다특히 소수자를 생각하는 발전적 정책이 없고 단순한 진단만 있다""라며 ""그 진단마저도 다양한 관점을 토대로 한 게 아니라 자신의 편의에 의한 것뿐""이라고 말했다"" 이어 홍 대변인은 ""누군가는 전국장애인차별철폐연대(전장연)를 향해 기획재정부로 가라, 국회로 가라, 시청으로 가라고 하는데 그분들도 이미 갈 수 있는 데는 다 갔다스스로도 '욕먹을 각오'를 했다지 않나""라며 ""지하철 시위를 하면 부정적 여론도 있다는 걸 알면서도 집중하고 있는 것 아닌가이동은 기본적 사회 참여의 수단인데 그게 안 이뤄지고 있으니 장애인들이 기본권 보장을 요구하고 있는 것""이라며 ""또한 장애인 권리보장법 제정, 장애인 탈시설 지원법 제정, 장애인 평생교육법 제정, 장애인 특수교육법 개정은 쟁점이 있긴 하지만 필요한 법인들이다그럼 광화문 시위는?""- 이준석 국민의힘 대표가 장애인들의 지하철 시위에 대해 비난을 이어가고 있다이전엔 여성과 남성을 성별로 갈라치기 하더니 이번엔 장애인 이슈를 가지고 왔다앞서 '뻑가'라는 유튜버가 지하철 시위를 부정적으로 말한 영상을 올렸고, 이후 온라인에서 계속 논쟁적인 이야기가 오갔는데, 이걸 이 대표가 정치의 영역으로 끌고 들어온 것이다이런 맥락을 전혀 언급하지 않고 비장애인의 시각으로 '시민의 삶을 볼모로 잡고 불편하게 만드는 장애인'이라고 이야기하는 건 옳지 않다이런 맥락을 전혀 언급하지 않고 비장애인의 시각으로 '시민의 삶을 볼모로 잡고 불편하게 만드는 장애인'이라고 이야기하는 건 옳지 않다ⓒ 공동취재사진   - 교통약자 이동권 문제를 강조하고 있는 전장연을 향해 이준석 대표는 '엘리베이터 설치 94%'를 언급하며 무리한 요구를 하고 있다는 식으로 말한다그게 안 이뤄지고 있으니 장애인들이 기본권 보장을 요구하고 있는 것이다"" - 이 대표는 '이동권 문제뿐만 아니라 장애인권리예산 요구를 왜 지하철 시위의 방식으로 요구하냐'고 말한다지하철 시위를 하면 부정적 여론도 있다는 걸 알면서도 집중하고 있는 것 아닌가▲  박경석 전국장애인차별철폐연대 대표(왼쪽)와 김예지 국민의힘 의원이 28일 서울 중구 충무로역 3호선 승강장에서 전국장애인차별철폐연대(전장연)의 25차 '출근길 지하철 탑니다'를 함께한 뒤 인사를 나누고 있다이 대표는 장애인 다음에 또 누굴 차별할 것인가"
21,"박홍근 더불어민주당 원내대표가 6일 오전 휠체어를 타고 지하철을 이용해 국회로 출근하는 모습전용기 더불어민주당 원내대표 비서실장이 6일 오전 휠체어를 타고 지하철을 이용해 국회로 출근하는 모습/ 사진제공=전용기 의원실━""장애인 권리 위해 여야, 인수위 함께 지혜 모아야""━민주당의 '휠체어 이용 출근 챌린지'는 지난달 31일 의원총회에서 최혜영 의원(초선·비례대표)의 제안에 따라 이뤄진 것으로 파악됐다박 원내대표는 이날 '휠체어 이용 출근 챌린지' 후 장애인 권리보장에 여야가 힘을 모아야 한다고 재차 강조했다"
22,"박경석 전국장애인차별철폐연대(전장연) 상임공동대표가 8년 전인 2014년 12월 서울 지하철 5호선 광화문역에서 전철역에 엘리베이터를 설치해달라고 요구하고 있다” 절정을 맞이한 벚꽃이 누군가에겐 지독한 슬픔일 수 있다는 사실을 그날 처음 깨달았다최근까지 전국장애인차별철폐연대(전장연)가 시위를 벌였던 지하철은 비장애인에게 더할 나위 없이 매끄러운 대중교통이다하지만 장애인에겐 아니다일부 역사의 엘리베이터 미설치 문제만이 아니다최근 지하철 시위를 겨냥한 문건에는 “공사는 실질적 약자, 실점방지&amp;디테일 발굴 중요… 여론전 승부는 디테일이 가른다”라는 내용이 담겼다지하철만 문제는 아니다그는 페이스북에서 지하철 시위를 “불특정 다수의 일반 시민의 불편을 야기”하고 “서울시민을 볼모로 잡는 시위”라고 정의했다문제는 누군가에게는 그렇지 않다는 것이다벚꽃이 슬플 수 있다는 사실을 몰랐던 나처럼전장연은 최근 지하철을 타는 시위를 멈췄다"
23,"국민의힘 이준석 대표(오른쪽)와 박경석 전국장애인차별철폐연대(전장연) 상임공동대표가 13일 서울 상암동 JTBC 스튜디오에서 JTBC 프로그램 '썰전라이브' 생방송 일대일 토론에 앞서 기념 촬영을 하고 있다이 대표와 박 대표는 이날 오후 JTBC '썰전 라이브'에서 장애인 이동권 보장과 시위방식 등을 주제로 일대일 토론을 펼쳤다전장연 박경석 대표는 모두발언에서 ""저와 전장연은 이 토론회 자리를 빌려서 시민 분들께 진심으로 사과 말씀드린다""며 ""장애인들이 출근길에 지하철을 타서 많은 불편들을 끼쳐서 죄송하다국민의힘 이준석 대표가 13일 서울 상암동 JTBC 스튜디오에서 박경석 전국장애인차별철폐연대(전장연) 상임공동대표와 JTBC 프로그램 '썰전라이브' 생방송 일대일 토론을 하고 있다박경석 전국장애인차별철폐연대(전장연) 상임공동대표가 13일 서울 상암동 JTBC 스튜디오에서 국민의힘 이준석 대표와 JTBC 프로그램 '썰전라이브' 생방송 일대일 토"
24,"ⓒ국회사진기자단이준석 국민의힘 대표는 더불어민주당 의원들의 '휠체어 챌린지' 동참에 대해 ""평소에 지하철을 자주 이용하는 게 먼저 아니냐""고 지적했다이 대표는 7일 페이스북에 휠체어를 탄 채 지하철을 타고 출근한 고 의원의 기사를 공유한 후 ""휠체어로 지하철 타는 체험을 하기 전에 평소에 지하철을 자주 이용해 보시는 게 우선이 아닐까""라고 지적했다진성준 의원도 챌린지 직후 ""우리 사회가 장애인들의 어려움, 불편을 더욱 세심하게 살펴야겠다""며 ""여러분께서도 혹시 기회가 된다면 한 번쯤 휠체어 타보시기를 권한다그는 휠체어 챌린지 과정에서 지하철 외부 엘리베이터 접근 중 이동로 턱에 걸려 넘어진 모습을 SNS에 올리기도 했다6일 휠체어 타고 국회로 출근한 고민정 더불어민주당 의원 ⓒ페이스북 캡처본앞서 이 대표는 출근길 지하철 시위를 한 전국장애인차별철폐연대(전장연)를 향해 ""시민을 볼모 삼은 투쟁방식""이라고 비난하며 ""장애인의 이동권 보장 시위가 시민의 불편을 야기하고 있다""고 강조해왔다"
25,/연합뉴스더불어민주당 국회의원들이 휠체어를 타고 출근하자 이준석 국민의힘 대표는 “휠체어로 지하철 타는 체험을 하기 전에 평소에 지하철을 자주 이용해보는 게 우선 아니겠느냐”고 6일 밝혔다이 대표는 페이스북에 고민정 더불어민주당 의원이 휠체어를 타고 출근했다는 기사를 공유하며 이같이 적었다고민정 더불어민주당 의원이 6일 서울 강변역에서 국회의사당역까지 휠체어로 출근하고 있다
26,"연합뉴스대통령직인수위원회가 29일 서울 지하철 출근길 시위를 벌이고 있는 전국장애인차별철폐연대(전장연)의 입장을 듣기 위해 시위 현장을 찾은 것은 잘한 일이다국힘 이준석 대표 갈라치기 그만두고인수위, 열악한 지방 더 큰 관심 절실서울의 시위 현장을 바라보는 지방의 심정은 더 착잡하다부산시 시내버스 총 2517대 중 휠체어 탑승 가능한 저상버스는 728대로 28인수위는 서울의 장애인 이동권에만 신경을 쓰지 말고 열악한 지방에 더 큰 관심을 가져 줄 것을 당부한다한편으로 곧 여당이 될 국민의힘 이준석 대표가 연일 장애인단체의 출근길 지하철 시위를 비난만 하고 있으니 도대체 무슨 심보인지 모르겠다"
27,"김은혜 당선인 대변인이 “저상버스를 포함한 장애인 이동권 확보는 윤 당선인의 공약”이라며 시위를 두둔하는 듯한 발언을 하자, 이 대표는 즉각 “그 공약을 내가 만들었다”면서 불편한 심기를 감추지 않았다김 대변인은 30일 브리핑에서 ‘전국장애인차별철폐연대(전장연)를 향한 이준석 대표의 비판 발언을 윤 당선인이 어떻게 보느냐’라는 질문에 “장애인 이동권 관련 문제는 20년 넘게 그분들이 간절히 바라온 것”이라고 답했다"
28,"최근 논란이 된 '전장연(전국장애인차별철폐연대) 시위'에 대해, 이준석 국민의힘 대표는 그들의 시위가 비문명적 시위라고 비난하고 있다하지만 그들에게 맹목적인 비난을 퍼붙기 이전에, 우리 사회는 그들이 겪고있는 어려움과 힘듦에 공감하려는 노력을 가졌어야 한다고민정 의원 등 더불어민주당 의원들이 휠체어 출근 체험을 통해 장애인들이 겪고 있는 어려움에 공감해보려는 노력을 할 때, 이준석 대표는 ""평소에 지하철부터 이용해야그 부분에 사진을 첨부하고 싶습니다            ⓒ 남윤석   휠체어를 타고 처음으로 대로변에 나갔을때는 휠체어 조종의 미성숙함 때문이였는지, 대로를 다니는 자동차들이 두렵기만 했다휠체어 체험을 위해 휠체어를 대여하고 처음으로 대로에 나간 순간입니다            ⓒ 남윤석   전장연에 시위에 불편함을 느낀 시민들이 불만을 토로하는 마음은 공감한다특히 이준석 대표는 차기 집권여당의 대"
